phenotype,markers,appliedGate,createdGate,gateType,markerDistribution,cutoff,qoi
Cells(+),"Area,Compactness",Root,ParentGate,singletGate,,,
CD45(*)CK19(*),"CK19,CD45",ParentGate,CD45(*)CK19(*),quadrantGate,"*,*","0.166,0.18",
ImmuneCells,"CK19,CD45",CD45(*)CK19(*),ImmuneCells,#,,,Q2
CancerCells,"CK19,CD45",CD45(*)CK19(*),CancerCells,#,,,Q4
OtherCells,"CK19,CD45",CD45(*)CK19(*),OtherCells,#,,,Q1
T_cells,"CD3,CD45",ImmuneCells,T_cells,hlineGate,+,0.3,
Cytotoxic_T_cells,"CD8,CD3",T_cells,Cytotoxic_T_cells,hlineGate,+,0.45,
Other_T_cells,"CD8,CD3",T_cells,Other_T_cells,hlineGate,-,0.45,
Other_immune_cells,"CD3,CD45",ImmuneCells,non_T_cells,hlineGate,-,0.3,
CD206(*)CD68(*),"CD68,CD206",non_T_cells,CD206(*)CD68(*),quadrantGate,"*,*","0.038,0.24",
Other_immune_cells,"CD68,CD206",CD206(*)CD68(*),Other_immune_cells,#,,,Q1
M1_macrophages,"CD68,CD206",CD206(*)CD68(*),M1_macrophages,#,,,Q4
M2_macrophages,"CD68,CD206",non_T_cells,M2_macrophages,vlineGate,+,0.24,
PHH3(*)SMPD1(*),"PHH3,SMPD1",CancerCells,PHH3(*)SMPD1(*),quadrantGate,"*,*","0.157,0.231",
Prol_CancerCells_SMPD1,"PHH3,SMPD1",PHH3(*)SMPD1(*),Prol_CancerCells_SMPD1,#,,,Q3
CancerCells_SMPD1,"SMPD1,CK19",CancerCells,CancerCells_SMPD1,hlineGate,+,0.231,
ImmuneCells_SMPD1,"SMPD1,CD45",ImmuneCells,ImmuneCells_SMPD1,hlineGate,+,0.231,
OtherCells_SMPD1,SMPD1,OtherCells,OtherCells_SMPD1,quantileGate,+,0.231,
T_cells_SMPD1,"SMPD1,CD3",T_cells,T_cells_SMPD1,hlineGate,+,0.231,
Cytotoxic_T_cells_SMPD1,"SMPD1,CD8",Cytotoxic_T_cells,Cytotoxic_T_cells_SMPD1,hlineGate,+,0.231,
Other_T_cells_SMPD1,SMPD1,Other_T_cells,Other_T_cells_SMPD1,quantileGate,+,0.231,
Other_immune_cells_SMPD1,SMPD1,Other_immune_cells,Other_immune_cells_SMPD1,quantileGate,+,0.231,
M2_macrophages_SMPD1,SMPD1,M2_macrophages,M2_macrophages_SMPD1,quantileGate,+,0.231,
M1_macrophages_SMPD1,SMPD1,M1_macrophages,M1_macrophages_SMPD1,quantileGate,+,0.231,